match_id,date,home,away,home_shape,away_shape,home_in_possession_shape,away_in_possession_shape,home_press_shape,away_press_shape,home_low_block_shape,away_low_block_shape,home_key_zones,away_key_zones,source,source_url,source_title,confidence,is_estimated,team_profile_degraded
WC2026-A1,2026-06-11,Mexico,South Africa,4-4-2,4-2-3-1,2-4-4,2-3-5,4-4-2,4-5-1,4-4-2,4-5-1,估计画像：中路推进/肋部连接,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Mexico vs South Africa formation matchup candidate,0.7,true,false
WC2026-A2,2026-06-12,South Korea,Czechia,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-2-3-1,4-5-1,4-5-1,4-5-1,估计画像：中路推进/肋部连接,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,South Korea vs Czechia formation matchup candidate,0.7,true,false
WC2026-B3,2026-06-13,Canada,Bosnia and Herzegovina,4-3-3,4-4-2,2-3-5,4-2-4,4-3-3,4-5-1,4-5-1,4-4-2,估计画像：边路宽度/套边制造入口+中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Canada vs Bosnia and Herzegovina formation matchup candidate,0.7,true,false
WC2026-D4,2026-06-13,USA,Paraguay,4-1-2-3,4-4-2,4-1-2-3,4-2-4,4-1-2-3,4-5-1,4-1-2-3,4-4-2,中路推进/肋部连接+破低位能力较强,中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,USA vs Paraguay formation matchup candidate,0.88,true,false
WC2026-C5,2026-06-14,Haiti,Scotland,4-4-2,4-4-2,2-4-4,2-4-4,4-5-1,4-4-2,4-4-2,4-4-2,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Haiti vs Scotland formation matchup candidate,0.88,true,false
WC2026-D6,2026-06-14,Australia,Turkey,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-5-1,4-2-3-1,4-5-1,4-5-1,中路推进受限+阵地破局效率偏低,中路推进/肋部连接+破低位能力较强,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Australia vs Turkey formation matchup candidate,0.88,true,false
WC2026-C7,2026-06-14,Brazil,Morocco,4-4-2,4-2-3-1,2-4-4,2-3-5,4-4-2,4-2-3-1,4-4-2,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Brazil vs Morocco formation matchup candidate,0.88,true,false
WC2026-B8,2026-06-14,Qatar,Switzerland,4-3-3,4-2-3-1,3-2-5,2-3-5,4-5-1,4-4-2,4-5-1,4-5-1,估计画像：边路宽度/套边制造入口+中路推进受限+阵地破局效率偏低,估计画像：边路宽度/套边制造入口+中路推进/肋部连接+破低位能力较强,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Qatar vs Switzerland formation matchup candidate,0.7,true,false
WC2026-E9,2026-06-15,Ivory Coast,Ecuador,4-3-3,5-3-2,2-3-5,3-4-3,4-4-2,5-2-3,4-5-1,5-4-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Ivory Coast vs Ecuador formation matchup candidate,0.7,true,false
WC2026-E10,2026-06-15,Germany,Curacao,4-2-3-1,4-4-2,2-3-5,4-2-4,4-2-3-1,4-5-1,4-5-1,4-4-2,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Germany vs Curacao formation matchup candidate,0.7,true,false
WC2026-F11,2026-06-15,Netherlands,Japan,4-3-3,4-2-3-1,2-3-5,2-3-5,4-4-2,4-5-1,4-5-1,4-5-1,估计画像：中路推进/肋部连接,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Netherlands vs Japan formation matchup candidate,0.7,true,false
WC2026-F12,2026-06-15,Sweden,Tunisia,4-2-3-1,4-5-1,2-3-5,4-5-1,4-4-2,4-4-2,4-5-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Sweden vs Tunisia formation matchup candidate,0.7,true,false
WC2026-H13,2026-06-16,Saudi Arabia,Uruguay,4-2-3-1,3-3-1-3,2-3-5,3-3-1-3,4-5-1,5-2-3,4-5-1,5-4-1,估计画像：中路推进受限+阵地破局效率偏低,估计画像：中路推进/肋部连接+破低位能力较强,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Saudi Arabia vs Uruguay formation matchup candidate,0.7,true,false
WC2026-H14,2026-06-16,Spain,Cape Verde,4-3-3,5-3-2,2-3-5,3-4-3,4-3-3,5-4-1,4-5-1,5-4-1,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Spain vs Cape Verde formation matchup candidate,0.7,true,false
WC2026-G15,2026-06-16,Iran,New Zealand,4-4-2,5-3-2,2-4-4,3-4-3,4-4-2,5-3-2,4-4-2,5-4-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Iran vs New Zealand formation matchup candidate,0.7,true,false
WC2026-G16,2026-06-16,Belgium,Egypt,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-2-3-1,4-4-2,4-5-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Belgium vs Egypt formation matchup candidate,0.7,true,false
WC2026-I17,2026-06-16,France,Senegal,4-2-3-1,4-3-3,2-3-5,2-3-5,4-4-2,4-4-2,4-5-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,France vs Senegal formation matchup candidate,0.7,true,false
WC2026-I18,2026-06-16,Iraq,Norway,4-2-3-1,4-3-3,2-3-5,2-3-5,4-5-1,4-3-3,4-5-1,4-5-1,估计画像：中路推进受限+阵地破局效率偏低,估计画像：中路推进/肋部连接,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Iraq vs Norway formation matchup candidate,0.7,true,false
WC2026-J19,2026-06-17,Argentina,Algeria,4-3-3,4-2-3-1,2-3-5,2-3-5,4-4-2,4-2-3-1,4-5-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Argentina vs Algeria formation matchup candidate,0.7,true,false
WC2026-J20,2026-06-17,Austria,Jordan,4-2-3-1,5-3-2,2-3-5,3-4-3,4-2-3-1,5-4-1,4-5-1,5-4-1,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Austria vs Jordan formation matchup candidate,0.7,true,false
WC2026-L21,2026-06-18,Ghana,Panama,4-4-2,4-4-2,4-2-4,2-4-4,4-5-1,4-4-2,4-4-2,4-4-2,估计画像：中路推进受限+阵地破局效率偏低,估计画像：中路推进/肋部连接,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Ghana vs Panama formation matchup candidate,0.7,true,false
WC2026-L22,2026-06-18,England,Croatia,3-4-2-1,4-3-3,3-4-3,2-3-5,5-3-2,4-4-2,5-4-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,England vs Croatia formation matchup candidate,0.7,true,false
WC2026-K23,2026-06-18,Portugal,DR Congo,4-3-3,4-2-3-1,2-3-5,2-3-5,4-4-2,4-5-1,4-5-1,4-5-1,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Portugal vs DR Congo formation matchup candidate,0.7,true,false
WC2026-K24,2026-06-18,Uzbekistan,Colombia,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-5-1,4-2-3-1,4-5-1,4-5-1,估计画像：中路推进受限+阵地破局效率偏低,估计画像：中路推进/肋部连接,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Uzbekistan vs Colombia formation matchup candidate,0.7,true,false
WC2026-A25,2026-06-18,Czechia,South Africa,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-5-1,4-5-1,4-5-1,4-5-1,估计画像：中路推进受限+阵地破局效率偏低,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Czechia vs South Africa formation matchup candidate,0.7,true,false
WC2026-B26,2026-06-18,Switzerland,Bosnia and Herzegovina,4-2-3-1,4-4-2,2-3-5,4-2-4,4-4-2,4-5-1,4-5-1,4-4-2,估计画像：边路宽度/套边制造入口+中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Switzerland vs Bosnia and Herzegovina formation matchup candidate,0.7,true,false
WC2026-B27,2026-06-18,Canada,Qatar,4-3-3,4-3-3,2-3-5,3-2-5,4-3-3,4-5-1,4-5-1,4-5-1,估计画像：边路宽度/套边制造入口+中路推进/肋部连接+破低位能力较强,估计画像：边路宽度/套边制造入口+中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Canada vs Qatar formation matchup candidate,0.7,true,false
WC2026-A28,2026-06-18,Mexico,South Korea,4-4-2,4-2-3-1,2-4-4,2-3-5,4-4-2,4-2-3-1,4-4-2,4-5-1,估计画像：中路推进/肋部连接,估计画像：中路推进/肋部连接,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Mexico vs South Korea formation matchup candidate,0.7,true,false
WC2026-C29,2026-06-19,Brazil,Haiti,4-2-3-1,5-4-1,2-3-5,5-4-1,4-2-3-1,5-4-1,4-4-2,5-4-1,左路Vinicius内收+Raphinha宽度,五后卫低位压缩中路,yahoo_preview+fotmob_r1,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,Brazil Haiti tactical preview,0.72,true,false
WC2026-C30,2026-06-19,Scotland,Morocco,4-4-2,4-2-3-1,4-2-4,2-3-5,4-4-2,4-1-4-1,5-4-1,4-4-2,定位球+McTominay插上,Hakimi宽度+Brahim肋部,fotmob_r1+yahoo_preview,https://sports.yahoo.com/articles/scotland-vs-morocco-picks-predictions-140309697.html,Scotland Morocco preview,0.7,true,false
WC2026-D31,2026-06-19,Turkey,Paraguay,4-2-3-1,4-4-2,2-3-5,4-4-2,4-3-3,4-5-1,4-4-2,5-4-1,Guler组织+Yildiz肋部,Enciso反击+低位五后卫,si_preview+fotmob_r1,https://www.si.com/soccer/turkiye-vs-paraguay-world-cup-preview-predictions-lineups-6-19-26,Turkey Paraguay preview,0.72,true,false
WC2026-D32,2026-06-19,USA,Australia,4-1-2-3,4-2-3-1,3-2-5,4-4-2,4-1-4-1,4-5-1,4-4-2,5-4-1,Pulisic左路+Balogun支点,Irankunda速度反击+紧凑低位,socceroos+fotmob_r1,https://socceroos.com.au/match/usa-v-australia-fifa-world-cuptm-2026-20-06-2026/22278774,USA Australia preview,0.75,true,false
WC2026-E33,2026-06-20,Germany,Ivory Coast,4-2-3-1,4-3-3,2-3-5,2-3-5,4-2-3-1,4-4-2,4-5-1,4-5-1,估计画像：中路推进/肋部连接+破低位能力较强,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Germany vs Ivory Coast formation matchup candidate,0.7,true,false
WC2026-E34,2026-06-20,Ecuador,Curacao,5-3-2,4-4-2,3-4-3,4-2-4,5-2-3,4-5-1,5-4-1,4-4-2,无明显单点破阵路径,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Ecuador vs Curacao formation matchup candidate,0.7,true,false
WC2026-F35,2026-06-20,Netherlands,Sweden,4-3-3,4-2-3-1,2-3-5,2-3-5,4-4-2,4-4-2,4-5-1,4-5-1,估计画像：中路推进/肋部连接,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Netherlands vs Sweden formation matchup candidate,0.7,true,false
WC2026-F36,2026-06-20,Tunisia,Japan,4-5-1,4-2-3-1,4-5-1,2-3-5,4-4-2,4-5-1,4-5-1,4-5-1,无明显单点破阵路径,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Tunisia vs Japan formation matchup candidate,0.7,true,false
WC2026-H37,2026-06-21,Uruguay,Cape Verde,3-3-1-3,5-3-2,3-3-1-3,3-4-3,5-2-3,5-4-1,5-4-1,5-4-1,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Uruguay vs Cape Verde formation matchup candidate,0.7,true,false
WC2026-H38,2026-06-21,Spain,Saudi Arabia,4-3-3,4-2-3-1,2-3-5,2-3-5,4-3-3,4-5-1,4-5-1,4-5-1,估计画像：中路推进/肋部连接+破低位能力较强,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Spain vs Saudi Arabia formation matchup candidate,0.7,true,false
WC2026-G39,2026-06-21,Belgium,Iran,4-2-3-1,4-4-2,2-3-5,2-4-4,4-2-3-1,4-4-2,4-5-1,4-4-2,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Belgium vs Iran formation matchup candidate,0.7,true,false
WC2026-G40,2026-06-21,New Zealand,Egypt,5-3-2,4-2-3-1,3-4-3,2-3-5,5-3-2,4-4-2,5-4-1,4-5-1,无明显单点破阵路径,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,New Zealand vs Egypt formation matchup candidate,0.7,true,false
WC2026-I41,2026-06-22,Norway,Senegal,4-3-3,4-3-3,2-3-5,2-3-5,4-3-3,4-4-2,4-5-1,4-5-1,估计画像：中路推进/肋部连接,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Norway vs Senegal formation matchup candidate,0.7,true,false
WC2026-I42,2026-06-22,France,Iraq,4-2-3-1,4-2-3-1,2-3-5,2-3-5,4-4-2,4-5-1,4-5-1,4-5-1,无明显单点破阵路径,估计画像：中路推进受限+阵地破局效率偏低,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,France vs Iraq formation matchup candidate,0.7,true,false
WC2026-J43,2026-06-22,Argentina,Austria,4-3-3,4-2-3-1,2-3-5,2-3-5,4-4-2,4-2-3-1,4-5-1,4-5-1,无明显单点破阵路径,估计画像：中路推进/肋部连接+破低位能力较强,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Argentina vs Austria formation matchup candidate,0.7,true,false
WC2026-J44,2026-06-22,Jordan,Algeria,5-3-2,4-2-3-1,3-4-3,2-3-5,5-4-1,4-2-3-1,5-4-1,4-5-1,估计画像：中路推进受限+阵地破局效率偏低,无明显单点破阵路径,phase01_profile+wc2026_schedule,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,Jordan vs Algeria formation matchup candidate,0.7,true,false
