team,raw_matches,weighted_matches,recent_xg_per_match,recent_xga_per_match,recent_xgd_per_match,recent_goals_for_per_match,recent_goals_against_per_match,has_qualifier_xg,context_rows,sources,quality_flag,last_verified,notes
Algeria,19,15.6,1.337,0.949,0.388,2.256,0.667,yes,2,Africa Cup of Nations | International Friendlies | WC Qualification Africa,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Argentina,28,25.0,1.304,0.712,0.592,1.79,0.458,yes,2,Copa America | International Friendlies | WC Qualification South America,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Australia,21,20.0,1.102,1.028,0.074,2.264,0.472,yes,1,AFC Asian Cup | WC Qualification Asia,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Austria,21,17.35,1.582,0.907,0.674,2.694,0.441,yes,2,International Friendlies | UEFA Euro Championship | WC Qualification Europe,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Belgium,18,16.0,2.51,0.715,1.795,3.665,0.74,yes,1,UEFA Euro Championship | WC Qualification Europe,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Bosnia and Herzegovina,10,10.0,1.72,1.19,0.53,1.9,0.9,yes,0,WC Qualification Europe,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Brazil,22,21.2,1.255,0.932,0.323,1.318,0.874,yes,1,Copa America | WC Qualification South America,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Canada,10,8.0,1.184,1.036,0.148,1.302,0.802,no,2,CONCACAF Gold Cup | Copa America,context_only,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Cape Verde,10,10.0,1.31,0.9,0.41,1.6,0.8,yes,0,WC Qualification Africa,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Colombia,24,22.8,1.412,1.085,0.327,1.653,0.895,yes,1,Copa America | WC Qualification South America,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Croatia,18,16.0,2.29,0.89,1.4,2.575,0.75,yes,1,UEFA Euro Championship | WC Qualification Europe,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
Curacao,13,12.4,1.515,1.195,0.32,2.388,0.597,yes,1,CONCACAF Gold Cup | WC Qualification CONCACAF,ok,2026-06-15,Weighted xG uses qualifiers at 1.00 and context rows at each row's recommended_weight.
