category,competition,season,rank_by_xg,team,matches_played,xg_per_match,xga_per_match,xgd_per_match,goals_for_per_match,goals_against_per_match,xg_vs_actual_per_match,recommended_weight,source,source_url,data_status,last_verified,notes
continental_tournament,Copa America,2024,1,Mexico,3,1.58,0.9,0.68,0.33,0.33,-1.25,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,2,Uruguay,6,1.42,0.98,0.44,1.83,0.67,0.41,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,3,Paraguay,3,1.42,1.03,0.39,1.0,2.67,-0.42,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,4,Argentina,6,1.39,0.87,0.52,1.5,0.17,0.11,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,5,Colombia,6,1.27,0.99,0.28,2.0,0.5,0.73,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,6,Brazil,4,1.23,1.0,0.23,1.25,0.5,0.02,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,7,USA,3,1.19,1.05,0.14,1.0,1.0,-0.19,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,8,Panama,4,1.18,1.1,0.08,1.5,2.5,0.32,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,9,Venezuela,4,1.17,1.22,-0.05,1.75,0.5,0.58,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,10,Canada,6,1.12,1.26,-0.14,0.67,1.17,-0.45,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,11,Ecuador,4,0.97,1.06,-0.09,1.25,1.0,0.28,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,12,Jamaica,3,0.9,1.52,-0.62,0.33,2.33,-0.57,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,13,Peru,3,0.84,0.9,-0.06,0.0,1.0,-0.84,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,14,Chile,3,0.83,1.28,-0.45,0.0,0.33,-0.83,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,15,Bolivia,3,0.66,1.83,-1.17,0.33,3.33,-0.33,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Copa America,2024,16,Costa Rica,3,0.3,1.62,-1.32,0.67,1.33,0.37,0.80,FootyStats,https://footystats.org/international/copa-america/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,1,Senegal,7,1.93,0.89,1.04,1.86,0.29,-0.07,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,2,Morocco,7,1.75,0.65,1.1,1.29,0.29,-0.46,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,3,Ivory Coast,5,1.72,0.86,0.86,2.0,1.2,0.28,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,4,South Africa,4,1.72,1.04,0.68,1.5,1.5,-0.22,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,5,Nigeria,7,1.57,0.84,0.73,2.0,0.57,0.43,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,6,Angola,3,1.52,1.15,0.37,0.67,1.0,-0.85,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,7,Congo DR,4,1.42,1.16,0.26,1.25,0.5,-0.17,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,8,Gabon,3,1.42,1.63,-0.21,1.33,2.33,-0.09,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,9,Algeria,5,1.31,1.08,0.23,1.6,0.6,0.29,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,10,Burkina Faso,4,1.3,1.14,0.16,1.0,1.25,-0.3,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,11,Tunisia,4,1.28,0.96,0.32,1.75,1.5,0.47,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,12,Cameroon,5,1.24,1.23,0.01,1.2,1.0,-0.04,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,13,Egypt,7,1.22,1.37,-0.15,1.29,0.71,0.07,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,14,Zimbabwe,3,1.19,2.42,-1.23,1.33,2.0,0.14,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,15,Uganda,3,1.05,1.45,-0.4,1.0,2.33,-0.05,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,16,Equatorial Guinea,3,1.02,1.55,-0.53,0.67,2.0,-0.35,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,17,Benin,4,1.01,1.18,-0.17,0.5,1.75,-0.51,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,18,Mali,5,0.99,1.34,-0.35,0.6,0.8,-0.39,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,19,Sudan,4,0.89,1.55,-0.66,0.5,2.0,-0.39,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,20,Tanzania,4,0.83,1.62,-0.79,0.75,1.25,-0.08,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,21,Zambia,3,0.79,1.61,-0.82,0.33,1.33,-0.46,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,22,Mozambique,4,0.77,2.04,-1.27,1.0,2.25,0.23,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
continental_tournament,Africa Cup of Nations,2023,23,Comoros,3,0.65,1.47,-0.82,0.0,0.67,-0.65,0.80,FootyStats,https://footystats.org/international/africa-cup-of-nations/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Context competitions should be weighted below 2026 qualifiers unless directly relevant.
