match_id,source_id,source_url,source_title,published_at,minute,team,player,text,evidence_snippet,source_authority,data_consistency
WC2026-C29,world_soccer_talk_previews,https://example.com/brazil-haiti-preview,Brazil vs Haiti tactical preview,2026-06-19,,Brazil,,Brazil expected to overload left flank with Vinicius inverted inside while Raphinha stays wide right,left flank overload vs low block,0.72,0.85
WC2026-C29,the_guardian_match_report,https://example.com/haiti-r1,Haiti R1 defensive shape note,2026-06-18,,Haiti,,Haiti held a compact 5-4-1 low block for long stretches limiting central progression,compact low block survival first half,0.70,0.88
WC2026-C29,espn_match_commentary,https://example.com/brazil-r1,Brazil R1 opening pattern,2026-06-17,12,Brazil,Vinicius Jr,Brazil scored early after sustained wide pressure forced Haiti to step out and leave space in behind,early pressure opened game after 12min goal pattern,0.75,0.82
WC2026-C29,fifa_training_centre,https://example.com/brazil-setpiece,Brazil set piece edge,2026-06-18,,Brazil,,Brazil showed set piece routines targeting back post with height advantage over Haiti back line,set piece height edge in box,0.80,0.90
WC2026-L22,world_soccer_talk_previews,https://example.com/eng-cro-preview,England Croatia preview,2026-06-18,,England,,England likely to attack right flank through Saka with Bellingham half-space runs,tactical mutual lock risk both elite midfields,0.72,0.85
WC2026-L22,the_guardian_match_report,https://example.com/cro-mid,Croatia midfield control,2026-06-17,,Croatia,,Croatia controlled tempo through Modric and Kovacic limiting open transitions,Croatia low chaos cagey first half,0.70,0.88
WC2026-L22,espn_match_commentary,https://example.com/eng-r1,England R1 pressing,2026-06-17,25,England,Kane,England high press created turnover in midfield leading to half chance,pressing success in midfield,0.75,0.82
WC2026-J43,fifa_training_centre,https://example.com/arg-preview,Argentina Austria preview,2026-06-21,,Argentina,,Argentina expected to dominate possession but Austria low block and press trap risk,Argentina favorite early break if Austria steps out,0.80,0.88
WC2026-J43,world_soccer_talk_previews,https://example.com/aut-press,Austria Rangnick press,2026-06-21,,Austria,,Austria will look to press high and force turnovers against Argentina build-up,Austria pressing success if Argentina slow at back,0.72,0.85
WC2026-J43,the_guardian_match_report,https://example.com/arg-lock,Argentina control pattern,2026-06-20,,Argentina,,Messi dropped deep to orchestrate while Alvarez stretched lines creating tactical lock phases,tactical mutual lock in midfield,0.70,0.86
