match_id,home,away,scenario_id,scenario_name,raw_base_weight,raw_tactical_delta,raw_player_delta,raw_source_delta,raw_probability_context_delta,raw_total_score,normalized_weight,base_weight,tactical_delta,player_delta,source_delta,probability_context_delta,weight,final_weight_deprecated,scenario_ranking_weight,home_lambda_delta,away_lambda_delta,variance_delta,over25_delta,btts_delta,htft_bias,htft_bias_semantic,score_family,triggered_by,evidence_summary,weight_gates,evidence_refs,data_confidence,is_fallback,fallback_reason,fallback_fields,fallback_ratio,fallback_confidence_cap,precision_warning,generated_at
WC2026-A25,Czechia,South Africa,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,0.3341,0,0,0.0245,0.4586,0.147429,0.1,0.3341,0,0,0.0245,0.147429,0.147429,0.147429,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,-0.0308,0,0,0,0.0692,0.022256,0.1,-0.0308,0,0,0,0.022256,0.022256,0.022256,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.1403,0,0,0,0.2403,0.077262,0.1,0.1403,0,0,0,0.077262,0.077262,0.077262,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.2927,0,0,0,0.3927,0.126244,0.1,0.2927,0,0,0,0.126244,0.126244,0.126244,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.3609,0,0,0,0.4609,0.148189,0.1,0.3609,0,0,0,0.148189,0.148189,0.148189,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.2244,0,0,0,0.3244,0.104285,0.1,0.2244,0,0,0,0.104285,0.104285,0.104285,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.1059,0,0,0.0239,0.2298,0.073878,0.1,0.1059,0,0,0.0239,0.073878,0.073878,0.073878,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features+capped_by_competition_context,,"{""competition_late_chase_cap"":{""context_used"":true,""late_chase_suppression"":0.0227,""late_draw_control_index"":0.0505}}",,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S08_strict_ref_card_penalty_chaos,严哨/红牌/身体对抗混沌,0.1,0.032,0,0,0,0.132,0.042451,0.1,0.032,0,0,0,0.042451,0.042451,0.042451,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,referee_strict_rc:Tori Penso,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.03215,0.1,0,0,0,0,0.03215,0.03215,0.03215,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
WC2026-A25,Czechia,South Africa,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0.0569,0,0,0,0.1569,0.050445,0.1,0.0569,0,0,0,0.050445,0.050445,0.050445,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,{},,0.7,false,,,0,,,2026-06-20T10:12:04.643665+00:00
