team,team_code,group,coach,typical_formation,attacking_intent,defensive_organization,pressing_intensity,set_piece_usage,formation_flexibility,in_game_adaptability,squad_utilization,confidence,notes
Algeria,ALG,J,Vladimir PETKOVIĆ,4-2-3-1,0.50,0.68,0.55,0.50,2,0.72,0.45,expert_prior,Petkovic pragmatic tournament manager
Argentina,ARG,J,Lionel SCALONI,4-3-3,0.70,0.82,0.62,0.55,3,0.92,0.45,expert_prior,Scaloni big-tournament adapter
Australia,AUS,D,Tony POPOVIC,4-4-2,0.48,0.62,0.45,0.52,2,0.58,0.42,expert_prior,Popovic compact resilient underdog
Austria,AUT,J,Ralf RANGNICK,4-2-3-1,0.68,0.72,0.92,0.55,2,0.78,0.50,expert_prior,Rangnick gegenpress system
Belgium,BEL,G,Rudi GARCIA,4-2-3-1,0.62,0.70,0.52,0.50,3,0.75,0.48,expert_prior,Garcia balanced rebuild manager
Bosnia and Herzegovina,BIH,B,Sergej BARBAREZ,4-4-2,0.55,0.58,0.42,0.55,1,0.48,0.38,expert_prior,Barbarez rookie legend player-coach
Brazil,BRA,C,Carlo ANCELOTTI,4-3-3,0.75,0.80,0.55,0.55,3,0.88,0.55,expert_prior,Ancelotti flexible big-game manager
Canada,CAN,B,Jesse MARSCH,4-3-3,0.72,0.65,0.82,0.48,2,0.70,0.52,expert_prior,Marsch gegenpress host momentum
Cape Verde,CPV,H,Pedro LEITÃO BRITO,5-3-2,0.38,0.52,0.32,0.58,1,0.42,0.40,expert_prior,Debutant coach deep low-block minnow
Colombia,COL,K,Nestor LORENZO,4-2-3-1,0.68,0.72,0.58,0.52,3,0.72,0.48,expert_prior,Lorenzo technical Copa form
Croatia,CRO,L,Zlatko DALIĆ,4-3-3,0.58,0.78,0.48,0.58,3,0.88,0.42,expert_prior,Dalic big-tournament pragmatist
Curacao,CUW,E,Dick ADVOCAAT,4-4-2,0.45,0.58,0.38,0.55,2,0.62,0.45,expert_prior,Advocaat veteran low-block organizer
Czechia,CZE,A,Miroslav KOUBEK,4-2-3-1,0.55,0.65,0.48,0.52,2,0.55,0.42,expert_prior,Koubek standard European mid-block
DR Congo,COD,K,Sebastien DESABRE,4-2-3-1,0.52,0.60,0.45,0.55,2,0.58,0.45,expert_prior,Desabre physical African bloc
