match_id,source_id,source_type,source_url,source_title,published_at,kickoff_time,available_before_kickoff,evidence_usage,minute,team,player,signal_type,summary,evidence_snippet,scenario_tags,source_authority,timestamp_precision,tactical_specificity,data_consistency,raw_confidence
WC2026-L22,world_soccer_talk_previews,world_soccer_talk_previews,https://worldsoccertalk.com/news/england-vs-croatia-2026-world-cup-preview/,England Croatia preview,2026-06-17 09:00,2026-06-18 15:00,true,pre_match_prediction,,England,,low_block_success,England likely to attack right flank through Saka with Bellingham half-space runs; Croatia may sit compact and control tempo,flank overload vs cagey midfield control,low_block_survival|under_goals,0.72,0.0,0.45,0.85,0.5415
WC2026-L22,fifa_training_centre,fifa_training_centre,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/england-croatia-tactical-brief,England Croatia tactical brief,2026-06-18 07:00,2026-06-18 15:00,true,pre_match_prediction,,Croatia,,transition_threat,Croatia expected to recycle possession through Modric-Kovacic pivot limiting transition volume,Croatia low chaos cagey first half,counter_attack|high_line_risk|tail_score,0.8,0.0,0.4,0.88,0.572
WC2026-L22,statsbomb_open_data,statsbomb_open_data,https://github.com/statsbomb/open-data,England pressing profile pre-tournament,2026-06-16 12:00,2026-06-18 15:00,true,pre_match_prediction,,England,,pressing_success,England high press triggers in opponent half when CB receives under pressure,pressing success in build-up phase,high_press_trap|opponent_build_up_risk,0.78,0.0,0.5,0.9,0.586
WC2026-L22,espn_match_commentary,espn_match_commentary,https://www.espn.com/soccer/story/_/id/england-croatia-r1,England R1 pressing (post-match),2026-06-18 18:00,2026-06-18 15:00,false,post_match_review,25,England,Kane,pressing_success,England high press created turnover in midfield leading to half chance,pressing success in midfield,high_press_trap|opponent_build_up_risk,0.75,1.0,0.3,0.82,0.7205
WC2026-J43,fifa_training_centre,fifa_training_centre,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/argentina-austria-preview,Argentina Austria preview,2026-06-21 08:00,2026-06-22 12:00,true,pre_match_prediction,,Argentina,,pressing_success,Argentina expected to dominate possession but Austria low block and press trap risk if Argentina slow at back,Argentina favorite early break if Austria steps out,high_press_trap|opponent_build_up_risk,0.8,0.0,0.45,0.88,0.582
WC2026-J43,world_soccer_talk_previews,world_soccer_talk_previews,https://worldsoccertalk.com/news/austria-rangnick-press-argentina/,Austria Rangnick press plan,2026-06-21 10:00,2026-06-22 12:00,true,pre_match_prediction,,Austria,,pressing_success,Austria will look to press high and force turnovers against Argentina slow build-up,Austria pressing success if Argentina slow at back,high_press_trap|opponent_build_up_risk,0.72,0.0,0.4,0.85,0.5315
WC2026-J43,the_guardian_match_report,the_guardian_match_report,https://www.theguardian.com/football/2026/jun/21/argentina-tactical-lock-note,Argentina control pattern preview,2026-06-21 14:00,2026-06-22 12:00,true,pre_match_prediction,,Argentina,,general_observation,Messi expected to drop deep to orchestrate while Alvarez stretches lines creating mutual constraint phases,tactical mutual lock in midfield,general_observation,0.7,0.0,0.4,0.86,0.524
WC2026-J43,espn_match_commentary,espn_match_commentary,https://www.espn.com/soccer/story/_/id/arg-aut-r1-review,Argentina R1 review (post-match),2026-06-22 15:30,2026-06-22 12:00,false,post_match_review,67,Argentina,Messi,general_observation,Second half opened after Austria tired and stepped higher,late chase opening pattern,general_observation,0.75,1.0,0.25,0.8,0.7075
WC2026-C29,fifa_match_centre,official_match,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/brazil-haiti-group-c,FIFA WC26 Group C Brazil vs Haiti,2026-06-18 12:00,2026-06-19 21:00,true,pre_match_prediction,,Brazil,,general_observation,Brazil need win after 1-1 Morocco draw; Haiti bottom after 0-1 Scotland; Group C R2 at Philadelphia.,Brazil drew Morocco 1-1; Haiti lost 0-1 to Scotland,general_observation,0.85,0.0,0.2,0.9,0.5575
WC2026-C29,yahoo_sports_preview,professional_media,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,Brazil vs Haiti predictions June 19,2026-06-19 10:00,2026-06-19 21:00,true,pre_match_prediction,,Haiti,,low_block_success,Haiti expected 4-3-2-1 low block and counter; Brazil 4-2-3-1 with Vinicius Raphinha Igor Thiago to break compact block.,Haiti sit deep 4-3-2-1 counter when space opens,low_block_survival|under_goals,0.72,0.0,0.55,0.85,0.5615
